Fecha,Zona,Valor
2026-03-24 11:00:00+00:00,Bélgica,5.72
2026-03-24 11:00:00+00:00,Alemania,-0.04
2026-03-24 11:00:00+00:00,España,-0.14
2026-03-24 12:00:00+00:00,Alemania,-0.08
2026-03-24 12:00:00+00:00,Bélgica,12.13
2026-03-24 12:00:00+00:00,España,-0.04
2026-03-24 12:00:00+00:00,Francia,-0.02
2026-03-24 12:00:00+00:00,Países Bajos,11.36
2026-03-24 12:00:00+00:00,Portugal,-0.04
2026-03-24 13:00:00+00:00,Portugal,-0.03
2026-03-24 13:00:00+00:00,Francia,-0.01
2026-03-24 13:00:00+00:00,Países Bajos,14.29
2026-03-24 13:00:00+00:00,Bélgica,17.96
2026-03-24 13:00:00+00:00,Alemania,-0.01
2026-03-24 13:00:00+00:00,España,-0.03
2026-03-24 14:00:00+00:00,Alemania,79.99
2026-03-24 14:00:00+00:00,Bélgica,72.97
2026-03-24 14:00:00+00:00,España,0.0
2026-03-24 14:00:00+00:00,Francia,0.0
2026-03-24 14:00:00+00:00,Países Bajos,84.6
2026-03-24 14:00:00+00:00,Portugal,0.0
2026-03-24 15:00:00+00:00,Países Bajos,309.73
2026-03-24 15:00:00+00:00,Francia,9.53
2026-03-24 15:00:00+00:00,Portugal,2.04
2026-03-24 15:00:00+00:00,Bélgica,261.53
2026-03-24 15:00:00+00:00,Alemania,309.73
2026-03-24 15:00:00+00:00,España,2.04
2026-03-24 16:00:00+00:00,Países Bajos,451.54
2026-03-24 16:00:00+00:00,Francia,79.06
2026-03-24 16:00:00+00:00,Portugal,79.06
2026-03-24 16:00:00+00:00,Bélgica,358.61
2026-03-24 16:00:00+00:00,Alemania,451.36
2026-03-24 16:00:00+00:00,España,79.06
2026-03-24 17:00:00+00:00,Alemania,543.37
2026-03-24 17:00:00+00:00,Bélgica,477.69
2026-03-24 17:00:00+00:00,España,267.09
2026-03-24 17:00:00+00:00,Francia,267.09
2026-03-24 17:00:00+00:00,Países Bajos,543.53
2026-03-24 17:00:00+00:00,Portugal,267.09
2026-03-24 18:00:00+00:00,Portugal,510.87
2026-03-24 18:00:00+00:00,Países Bajos,566.9
2026-03-24 18:00:00+00:00,Francia,510.87
2026-03-24 18:00:00+00:00,Bélgica,545.77
2026-03-24 18:00:00+00:00,Alemania,551.97
2026-03-24 18:00:00+00:00,España,510.87
